part_number,part_name,quantity,unit,part_type,short_description,manufacturer,manufacturer_part_number,supplier,supplier_part_number,url,price_per_unit,currency,manufacturing_process,source_files,export_files,instructions_link,local_sourcing_notes,notes
1.1,XIAO ESP32-C3,1,pcs,Buy,RISC-V microcontroller with Wi-Fi/BLE and USB-C,Seeed Studio,XIAO ESP32-C3,TODO,TODO,TODO,165000,IDR,,,,README.md#the-custom-mainboard,Any Seeed XIAO ESP32-C3 or -S3 runs the same firmware; D4/D5 pin mapping resolves per board variant,Master on the I2C bus. Its Wi-Fi radio is the heat source identified in the evaluation
1.2,Grove HM3301 particulate matter sensor,1,pcs,Buy,Laser-scattering PM1.0/PM2.5/PM10 sensor on a Grove carrier board,Seeed Studio,Grove - Laser PM2.5 Sensor (HM3301),TODO,TODO,TODO,700000,IDR,,,,README.md#internal-layout,TODO — purchase location/date not stated in the source. Parent README notes ordering direct from Seeed usually beats local retail for a batch,I2C address 0x40. Fan and laser need the 5 V rail (XIAO pin 14, silkscreened 5V)
1.3,CJMCU-680 BME680 breakout,1,pcs,Buy,4-in-1 temperature / humidity / pressure / gas breakout board,Bosch Sensortec (sensor) on CJMCU breakout,BME680,TODO,TODO,TODO,282000,IDR,,,,README.md#internal-layout,Any BME680 breakout with an I2C header works; check the SDO pull,I2C address 0x76 (0x77 if SDO is tied to 3V3). 3.3 V logic
1.4,Node V2 printed shell,1,pcs,Production,Custom triangular enclosure with integral compartment dividers and screw bosses,Fab Lab Bali,,,,,65000,IDR,3D printing FDM,TODO — CAD source not in repo,TODO — STL not in repo,README.md#assembly,Printable on any FDM machine that fits the part; PETG required (PLA softens on Bali rooftops),TODO — print parameters and filament mass unknown. Files currently only in an external Drive folder
1.5,Wiring harness accessories,1,lot,Buy,Dupont female jumper wires plus a Grove 4-pin cable,,,TODO,TODO,TODO,35000,IDR,,,,README.md#electronics,Any Dupont/Grove assortment,SDA/SCL colour code is contradictory between the wiring table and the perfboard — verify against a physical unit
1.6,Perfboard 3x7 cm,1,pcs,Buy,Prototype matrix board used as the custom mainboard,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#the-custom-mainboard,Any 3x7 cm (or larger trimmed) matrix board,TODO — not itemised in the source BoM but required for the build
1.7,JST/Grove 4-pin socket,2,pcs,Buy,Plug-and-play sensor connector on the mainboard,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#the-custom-mainboard,Any 4-pin Grove-compatible right-angle socket,TODO — not itemised in the source BoM but required for the build
1.8,Screw terminal block 2-way,1,pcs,Buy,Green screw terminal for main DC power input on the mainboard,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#the-custom-mainboard,Any 5.08 mm or 3.5 mm 2-way terminal,TODO — not itemised in the source BoM but required for the build
1.9,DC female jack connector,1,pcs,Buy,Panel-mount 5 V DC power inlet on the base plate,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#base-plate--power-rf-air,Any panel-mount barrel jack matching your supply. TODO — barrel size not stated in the source,TODO — not itemised in the source BoM. Sleeve the solder joints in heat-shrink
1.10,SMA pigtail connector,1,pcs,Buy,Bulkhead SMA pigtail through the base plate,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#base-plate--power-rf-air,Any u.FL-to-SMA bulkhead pigtail matching the XIAO antenna connector,TODO — not itemised in the source BoM
1.11,Omni antenna 2.4 GHz,1,pcs,Buy,External Wi-Fi antenna aimed down-and-sideways,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#base-plate--power-rf-air,Any 2.4 GHz SMA omni,TODO — not itemised in the source BoM
1.12,Heat-shrink tubing,1,lot,Buy,Insulation sleeve for the DC jack solder joints,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any assortment,TODO — not itemised in the source BoM
1.13,Silicone conformal coating,1,lot,Buy,Anti-corrosion coating for the soldered side of the perfboard,MG Chemicals,422B,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Available in Singapore and ships to Bali. Any silicone conformal coating works,Not in the source BoM but required by the parent README's deployment notes. Mask sensor openings and the USB-C connector
2.1,Machine screw M2x6,15,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,200,IDR,,,,README.md#assembly,Any hardware-store M2x6 flat head works. TODO — drive type (Phillips/hex/slot) not stated in the source,Four fix the HM3301 to the lower chassis; the remaining 11 have no documented destination
2.2,Machine screw M3x6,4,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,300,IDR,,,,README.md#assembly,Any hardware-store M3x6 flat head works. TODO — drive type not stated in the source,
2.3,Machine screw M3x10,4,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,400,IDR,,,,README.md#assembly,Any hardware-store M3x10 flat head works. TODO — drive type not stated in the source,
2.4,Machine screw M3x14,2,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,500,IDR,,,,README.md#assembly,Any hardware-store M3x14 flat head works. TODO — drive type not stated in the source,
