part_number,part_name,quantity,unit,part_type,short_description,manufacturer,manufacturer_part_number,supplier,supplier_part_number,url,price_per_unit,currency,manufacturing_process,source_files,export_files,instructions_link,local_sourcing_notes,notes
1.1,Main processor,1,pcs,Buy,ESP32 microcontroller with Wi-Fi/BLE and USB-C,Seeed Studio or generic,XIAO ESP32-C3 / XIAO ESP32-S3 / ESP32-C3 Supermini / ESP32-S3 Supermini / Seeed ESP32-S3 with LoRa,TODO,TODO,TODO,TODO,IDR,,,,../node-v3.2/README.md#wiring,Five accepted variants so a build is not blocked when one is out of stock locally,Master on the I2C bus. XIAO uses D4/D5 for I2C on the DIY PCB; Supermini uses D8/D9 — not interchangeable
1.2,Baseboard,1,pcs,Buy,Carrier board for the microcontroller and Grove sensor sockets,Seeed Studio or Fab Lab Bali,Grove Shield for XIAO / DIY custom PCB,TODO,TODO,TODO,TODO,IDR,,TODO — DIY PCB design files not in repo,TODO — DIY PCB gerbers not in repo,README.md#hybrid-architecture,Grove Shield is solderless; the DIY PCB is cheaper but needs soldering,On v6 a single board bracket fits both — the screws absorb the difference. v7 needs two separate STLs
1.3,Seeed Studio HM3301 particulate matter sensor,1,pcs,Buy,Laser-scattering PM1.0/PM2.5/PM10 sensor on a Grove carrier board,Seeed Studio,Grove - Laser PM2.5 Sensor (HM3301),TODO,TODO,TODO,TODO,IDR,,,,../node-v3.2/README.md#wiring,No substitute is designed for. About 3 weeks direct from Seeed per the campaign workshop notes,I2C address 0x40. Fan and laser require the 5 V rail — the source document's Grove Shield table saying 3.3 V is an error
1.4,BME680 environmental sensor,1,pcs,Buy,Temperature / humidity / pressure / gas sensor,Bosch Sensortec (sensor); Bosch breakout or Seeed Grove carrier,BME680,TODO,TODO,TODO,TODO,IDR,,,,../node-v3.2/README.md#wiring,Either the Bosch breakout or the Seeed Grove module — both use the same cover on v6,I2C address 0x76 (0x77 if SDO is pulled high). 3.3 V logic. Sits in the same sealed volume as the radio — see the airflow section on self-heating
1.5,Main body,1,pcs,Production,Printed main chassis with two SMA antenna ports,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/Main_Body.stl,README.md#assembly,PETG or ASA required; PLA creeps in Bali sun,113.9 x 92.0 x 28.9 mm. 5242 triangles. NOT watertight — 4 open edges. Dual-antenna variant; the single-antenna body is upstream only
1.6,Top cover,1,pcs,Production,Printed cover screwed from outside the body,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/Main_Body_Cover.stl,README.md#assembly,,117.9 x 88.0 x 51.9 mm. 13324 triangles
1.7,HM3301 cover + mainboard mount,1,pcs,Production,Printed PM sensor cover that also carries the mainboard standoffs,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/HM_Cover_and_Mainboard_Mount.stl,README.md#assembly,,83.9 x 40.1 x 8.9 mm. 1522 triangles
1.8,Outflow duct,1,pcs,Production,Printed duct that carries HM3301 exhaust sideways away from the intake,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/Body_Air_Outlet.stl,README.md#airflow,Carried over unchanged into v7,46.0 x 26.0 x 12.0 mm. 1548 triangles. Degenerate (zero-area) triangles present — re-export from source
1.9,BME680 cover,1,pcs,Production,Printed retainer for the BME680,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/BME_Cover.stl,README.md#assembly,Fits both the Bosch breakout and the Seeed Grove module on v6,44.0 x 24.0 x 2.0 mm. 984 triangles
1.10,Wall bracket,1,pcs,Production,Separate printed bracket bolted to a flat wall,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/Body_Bracket.stl,README.md#mounting,Eliminated on v7 — mounting is moulded into the body,76.4 x 15.0 x 28.0 mm. 882 triangles. TODO — wall-fixing spec and load rating not documented
2.1,SMA pigtail,1,pcs,Buy,Bulkhead SMA female to IPEX / U.FL pigtail,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any u.FL-to-SMA bulkhead pigtail matching the board's antenna connector,Quantity 2 for the dual-antenna body
2.2,External antenna 2.4 GHz,1,pcs,Buy,External Wi-Fi antenna,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any 2.4 GHz SMA omni,TODO — gain not specified in the source
2.3,External antenna sub-GHz LoRa,1,pcs,Buy,External LoRa antenna,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Only for the dual-antenna build. Match the regional LoRa band,TODO — band and gain not specified in the source
2.4,Cable set,1,lot,Buy,JST-XH and Grove 4-pin cables for internal wiring,,,TODO,TODO,TODO,TODO,IDR,,,,../node-v3.2/README.md#wiring,Usually included with Seeed Grove sensors,
2.5,USB Type-C power supply and cable,1,pcs,Buy,5 V DC supply,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#hybrid-architecture,"5 V / 2 A. Label the plug ""Smart Citizen, do not unplug"" per the workshop kit notes",Unplugging to charge a phone is the most common reason a node goes silent
3.1,Machine screw M3x10,4,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any hardware-store M3x10 flat head. TODO — drive type (Phillips/hex/slot) not stated in the source,Fixes the HM3301 cover + mainboard mount
3.2,Machine screw M2x5,2,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any hardware-store M2x5 flat head. TODO — drive type not stated in the source,Fixes the mainboard to the bracket standoffs. Quantity is per board type
3.3,Machine screw M2x10,3,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any hardware-store M2x10 flat head. TODO — drive type not stated in the source,Fixes the BME680 cover
3.4,Machine screw M3x10,2,pcs,Standard,Flat head carbon steel machine screw,NINDEJIN,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any hardware-store M3x10 flat head. TODO — drive type not stated in the source,Fixes the top cover. Same size as 3.1 — order 6 of them
